City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
283,Sri Aman,MY,75.2,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
284,Ahipara,NZ,67.35,clear sky,-35.1667,173.1667,Ahipara Holiday Park
285,Alexandria,EG,66.2,clear sky,31.2156,29.9553,Royal Crown Hotel
286,Labuhan,ID,79.23,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
287,Kavieng,PG,82.74,broken clouds,-2.5744,150.7967,Nusa Island Retreat
289,San Juan,AR,84.65,clear sky,-31.5375,-68.5364,Hotel Provincial
291,Karratha,AU,87.46,clear sky,-20.7377,116.8463,ibis Styles Karratha
292,Onalaska,US,35.01,clear sky,43.8844,-91.2351,Stoney Creek Hotel & Conference Center
293,Antsohihy,MG,76.68,clear sky,-14.8796,47.9875,Hotel de Ville
294,Redmond,US,54.0,moderate rain,47.674,-122.1215,Seattle Marriott Redmond
295,Banikoara,BJ,77.88,clear sky,11.2985,2.4386,Hôtel de l'UCom CVPC
296,Quirinopolis,BR,79.84,moderate rain,-18.4483,-50.4517,Rota Hotéis - Quirinópolis GO
298,Khambhaliya,IN,67.14,clear sky,22.2072,69.6683,"Kalyan's Hotel, Banquet & Restaurant."
299,Jacmel,HT,89.6,few clouds,18.2342,-72.5347,Hotel Florita
301,Guerrero Negro,MX,69.4,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
302,Morondava,MG,84.83,few clouds,-20.2833,44.2833,La Case Bambou
303,Coquimbo,CL,64.4,few clouds,-29.9533,-71.3436,Hotel San Juan
304,Torgau,DE,36.0,broken clouds,51.5667,13.0,Hotel-Torgau zum Markt
305,Omboue,GA,78.15,moderate rain,-1.5746,9.2618,Hotel Olako
306,Brigantine,US,46.99,clear sky,39.4101,-74.3646,Legacy Vacation Resort Brigantine Beach
308,Les Cayes,HT,80.44,overcast clouds,18.2,-73.75,Villa Orphee
310,Luorong,CN,44.17,few clouds,24.4058,109.6086,荣立大酒店
314,Alofi,NU,80.6,broken clouds,-19.0595,-169.9187,Taloa Heights
317,Vanimo,PG,78.15,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
318,Helena,US,46.99,clear sky,46.5927,-112.0361,Holiday Inn Express & Suites Helena
319,Barpeta,IN,60.8,mist,26.3167,91.0,MJ GUEST HOUSE
320,La Ronge,CA,35.6,clear sky,55.1001,-105.2842,Northland Motor Hotel
321,Guapore,BR,79.0,broken clouds,-28.8456,-51.8903,Hotel Topo Gigio
322,Kruisfontein,ZA,71.01,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
323,Somerset,US,44.6,clear sky,40.5668,-74.5496,Hilton Garden Inn Bridgewater
324,Port Blair,IN,77.81,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
326,Evans,US,50.0,overcast clouds,33.5337,-82.1307,Wymberly
328,Springville,US,34.0,clear sky,40.1652,-111.6107,Best Western Mountain View Inn
329,Sao Felix Do Xingu,BR,81.91,moderate rain,-6.6447,-51.995,Rio Xingu Camping
330,Yacuiba,BO,69.8,light rain,-22.038,-63.6797,Hotel Monumental
331,Namibe,AO,72.75,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
333,Codrington,AU,49.35,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
334,Kismayo,SO,77.45,clear sky,-0.3582,42.5454,Agan-Hotel
335,Tautira,PF,84.0,light rain,-17.7333,-149.15,Pension Oaoa
336,Tianpeng,CN,39.99,mist,30.9866,103.9393,Shuangliu Love Home Business Hotel
338,Kitaibaraki,JP,39.99,clear sky,36.7833,140.75,Isohara Seaside Hotel
339,Matay,EG,63.95,overcast clouds,28.419,30.7792,Nag Aespen
340,Nago,JP,55.4,broken clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
341,Killybegs,IE,41.0,heavy intensity rain,54.6333,-8.45,Tara Hotel
342,Pilar,BR,84.2,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
344,Loandjili,CG,80.6,scattered clouds,-4.7561,11.8578,Résidence ARCHANGE
345,Santa Rosa,PH,75.0,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
346,Harper,LR,79.14,moderate rain,4.375,-7.7169,Screensaver
347,Port Keats,AU,83.95,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
348,Tabou,CI,78.51,light rain,4.423,-7.3528,hotêl doufoulougou
349,Kaoma,ZM,68.77,light rain,-14.7833,24.8,KAOMA AIRPORT
350,Sabang,ID,81.19,overcast clouds,5.8933,95.3214,Hotel Citra
351,Hobbs,US,37.99,clear sky,32.7026,-103.13600000000001,Best Western Executive Inn
353,Kahului,US,77.0,few clouds,20.8947,-156.47,Maui Seaside Hotel
357,Mana,GF,80.06,broken clouds,5.6592,-53.7767,LE SAMANA
359,Butembo,CD,59.4,clear sky,0.15,29.2833,Hotel Butembo
361,Saint-Jean-Port-Joli,CA,32.0,scattered clouds,47.2171,-70.2658,Motel Blanche d'Haberville
365,Tual,ID,84.04,moderate rain,-5.6667,132.75,Grand Vilia Hotel
366,Del Rio,US,48.2,clear sky,29.3627,-100.8968,Holiday Inn Express & Suites del Rio
