City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
173,Chabahar,IR,2021-01-09 22:02:16,25.2919,60.643,60.3,37,0,3.76
174,Najran,SA,2021-01-09 22:02:16,17.4924,44.1277,51.8,43,0,2.86
175,Svetlyy,RU,2021-01-09 22:02:16,54.675,20.1347,30.2,93,90,2.24
176,Hangu,CN,2021-01-09 22:02:16,39.2489,117.7892,21.2,38,0,11.18
177,Lukoyanov,RU,2021-01-09 22:02:16,55.0277,44.4786,25.79,98,100,7.34
178,Palmer,US,2021-01-09 22:02:17,42.1584,-72.3287,34.0,51,75,10.36
179,Tuktoyaktuk,CA,2021-01-09 22:02:17,69.4541,-133.0374,3.2,92,75,17.27
180,Witu,KE,2021-01-09 22:02:17,-2.3889,40.4382,78.8,78,20,4.61
181,Mecca,SA,2021-01-09 22:02:17,21.4267,39.8261,74.32,61,22,2.51
182,Novomyrhorod,UA,2021-01-09 22:02:17,48.7811,31.642,29.66,95,24,7.63
183,Padang,ID,2021-01-09 22:01:37,-0.9492,100.3543,80.6,78,75,2.3
184,Barinitas,VE,2021-01-09 22:02:17,8.7622,-70.4111,75.38,80,86,1.88
185,Orlik,RU,2021-01-09 22:02:17,52.5178,99.825,-13.86,73,40,3.24
186,Naze,JP,2021-01-09 22:02:17,28.3667,129.4833,50.0,71,75,14.97
187,Sola,VU,2021-01-09 22:02:17,-13.8833,167.55,84.2,84,20,2.3
188,Takoradi,GH,2021-01-09 22:02:17,4.8845,-1.7554,79.29,87,66,8.99
189,Port Elizabeth,ZA,2021-01-09 21:57:26,-33.918,25.5701,69.8,88,40,18.41
190,Victor Harbor,AU,2021-01-09 22:02:17,-35.5667,138.6167,86.0,35,13,4.14
191,Srandakan,ID,2021-01-09 22:02:18,-7.9386,110.2506,77.02,84,72,3.38
192,Dikson,RU,2021-01-09 22:02:18,73.5069,80.5464,-6.93,87,100,9.78
193,Longyearbyen,SJ,2021-01-09 22:02:18,78.2186,15.6401,30.2,69,20,3.44
194,Hudson Bay,CA,2021-01-09 22:02:18,52.85,-102.3842,27.5,96,0,6.89
195,Santa Cruz,BO,2021-01-09 22:00:08,-17.8,-63.1667,89.6,62,40,20.71
196,Penzance,GB,2021-01-09 21:58:59,50.1186,-5.5371,35.01,100,20,9.22
197,Ziyang,CN,2021-01-09 22:02:18,29.2497,117.8547,26.29,78,0,3.06
198,Atikokan,CA,2021-01-09 22:02:18,48.7555,-91.6216,22.24,97,98,3.87
199,Tazmalt,DZ,2021-01-09 22:02:18,36.3868,4.3989,52.84,80,79,3.27
200,Stornoway,GB,2021-01-09 22:02:18,58.2093,-6.3865,35.01,86,75,2.3
201,Provideniya,RU,2021-01-09 22:02:18,64.3833,-173.3,-7.73,82,1,6.38
202,Kurdzhinovo,RU,2021-01-09 22:02:18,43.9884,40.9552,45.3,61,100,5.59
203,Mumford,GH,2021-01-09 22:02:18,5.2618,-0.759,79.84,85,79,11.65
204,Vilhena,BR,2021-01-09 22:02:18,-12.7406,-60.1458,81.25,64,80,0.65
205,Songea,TZ,2021-01-09 22:02:18,-10.6833,35.65,68.0,94,40,2.55
206,Toora-Khem,RU,2021-01-09 22:02:18,52.4675,96.11,-13.9,85,98,2.24
207,Faanui,PF,2021-01-09 22:02:18,-16.4833,-151.75,81.28,70,1,12.84
208,Yar-Sale,RU,2021-01-09 22:02:18,66.8333,70.8333,-13.49,89,97,12.64
209,Chapais,CA,2021-01-09 22:02:18,49.7834,-74.8492,15.8,92,90,10.36
210,Polczyn-Zdroj,PL,2021-01-09 22:02:18,53.7642,16.0957,32.0,97,98,1.99
211,Gushikawa,JP,2021-01-09 22:02:18,26.3544,127.8686,53.6,81,90,5.75
212,Belaya Gora,RU,2021-01-09 22:02:19,68.5333,146.4167,-19.79,88,100,4.05
213,Port Augusta,AU,2021-01-09 22:02:19,-32.5,137.7667,84.0,68,0,2.84
214,Doaba,PK,2021-01-09 22:02:19,33.4244,70.7364,45.28,37,0,5.73
215,Vanimo,PG,2021-01-09 22:02:19,-2.6741,141.3028,78.69,85,100,3.49
216,Upata,VE,2021-01-09 22:02:19,8.0086,-62.3989,71.91,93,99,5.86
217,Lagoa,PT,2021-01-09 22:02:19,39.05,-27.9833,56.62,59,99,7.02
218,Flinders,AU,2021-01-09 21:58:27,-34.5833,150.8552,73.0,80,0,1.01
219,Umba,RU,2021-01-09 22:02:19,66.6871,34.3429,7.21,95,100,5.53
220,Eenhana,NA,2021-01-09 22:02:19,-17.4667,16.3333,75.2,78,100,11.5
221,Alofi,NU,2021-01-09 22:02:19,-19.0595,-169.9187,84.2,70,20,12.66
222,Manokwari,ID,2021-01-09 22:01:11,-0.8667,134.0833,80.02,73,100,2.24
223,Noyabrsk,RU,2021-01-09 22:02:19,63.1994,75.4507,-19.17,88,87,6.46
224,Tete,MZ,2021-01-09 22:02:19,-16.1564,33.5867,73.4,100,75,6.91
225,Varna,BG,2021-01-09 21:57:38,43.2167,27.9167,37.4,87,90,12.66
226,Killybegs,IE,2021-01-09 22:02:19,54.6333,-8.45,39.99,97,95,3.0
227,Malysheva,RU,2021-01-09 22:02:19,57.1185,61.4035,3.2,85,75,8.95
228,Nuuk,GL,2021-01-09 22:02:19,64.1835,-51.7216,28.4,64,75,8.79
229,Cidreira,BR,2021-01-09 22:02:19,-30.1811,-50.2056,78.19,80,0,13.06
230,Nueva Loja,EC,2021-01-09 22:02:19,0.0847,-76.8828,86.0,58,20,5.75
231,Cherskiy,RU,2021-01-09 21:58:15,68.75,161.3,-30.14,85,64,2.71
232,Mbandaka,CD,2021-01-09 22:02:19,0.0487,18.2603,74.88,78,100,2.91
233,Ugoofaaru,MV,2021-01-09 22:02:19,5.6667,73.0,82.08,70,87,7.61
234,North Bend,US,2021-01-09 22:02:20,43.4065,-124.2243,62.01,66,1,9.22
235,Omboue,GA,2021-01-09 22:02:20,-1.5746,9.2618,77.74,90,22,5.68
236,Sainte-Marie,RE,2021-01-09 22:01:32,-20.8968,55.5496,73.4,83,0,5.75
237,Alappuzha,IN,2021-01-09 22:02:20,9.49,76.3264,78.08,84,100,6.82
238,Wasilla,US,2021-01-09 22:02:20,61.5814,-149.4394,33.8,47,75,9.22
239,Touros,BR,2021-01-09 22:02:20,-5.1989,-35.4608,82.4,69,20,16.11
240,Airai,TL,2021-01-09 21:58:23,-8.9266,125.4092,62.71,100,100,1.5
241,Hami,CN,2021-01-09 22:02:20,42.8,93.45,9.14,90,23,3.31
242,Maceio,BR,2021-01-09 22:02:20,-9.6658,-35.7353,78.8,83,0,11.5
243,Whitehorse,CA,2021-01-09 22:02:20,60.7161,-135.0538,23.0,80,75,16.11
244,Filingue,NE,2021-01-09 22:02:20,14.3521,3.3168,79.05,16,0,8.08
245,Homer,US,2021-01-09 22:02:20,59.6425,-151.5483,34.0,80,75,9.22
246,Komsomolskiy,UZ,2021-01-09 21:58:49,40.4272,71.7189,19.4,79,0,6.91
247,Tuatapere,NZ,2021-01-09 22:02:20,-46.1333,167.6833,63.0,68,100,8.01
248,Estelle,US,2021-01-09 22:02:20,29.8458,-90.1067,50.0,49,1,8.05
249,Atherton,GB,2021-01-09 22:01:16,53.5237,-2.4935,34.0,82,88,5.55
250,Beyneu,KZ,2021-01-09 22:02:21,45.3167,55.2,28.87,88,0,12.19
251,Road Town,VG,2021-01-09 22:02:21,18.4167,-64.6167,80.6,74,40,5.75
252,Byron Bay,AU,2021-01-09 22:01:19,-28.65,153.6167,73.99,83,75,9.22
253,Buin,CL,2021-01-09 22:02:21,-33.7333,-70.75,78.8,31,40,8.05
254,Ozernovskiy,RU,2021-01-09 22:02:21,51.5,156.5167,22.05,84,100,15.08
255,Venkatagiri,IN,2021-01-09 22:02:21,13.9667,79.5833,72.61,91,65,1.83
256,Oyama,JP,2021-01-09 22:02:21,36.3,139.8,33.01,73,20,5.75
257,Alice Springs,AU,2021-01-09 22:02:21,-23.7,133.8833,77.0,49,75,4.61
258,Hobyo,SO,2021-01-09 22:02:21,5.3505,48.5268,74.75,71,0,22.26
259,Namibe,AO,2021-01-09 21:58:32,-15.1961,12.1522,71.1,74,80,7.85
260,The Valley,AI,2021-01-09 22:02:21,18.217,-63.0578,80.6,69,20,12.66
261,Batticaloa,LK,2021-01-09 22:02:21,7.7102,81.6924,74.01,94,100,8.32
262,Wencheng,CN,2021-01-09 22:02:21,33.0559,113.7978,28.87,71,100,3.62
263,Bonanza,NI,2021-01-09 22:02:21,14.0289,-84.591,81.57,58,9,6.31
264,Moissac,FR,2021-01-09 22:02:21,44.1024,1.0945,34.0,93,0,2.3
265,Vilya,RU,2021-01-09 22:02:21,55.2456,42.2089,25.92,99,100,4.25
266,Broken Hill,AU,2021-01-09 22:02:21,-31.95,141.4333,75.2,31,0,10.36
267,Odweyne,SO,2021-01-09 22:02:21,9.4092,45.064,63.46,45,4,15.03
268,Kupang,ID,2021-01-09 22:02:21,-10.1667,123.5833,77.0,100,75,4.99
269,Port Lincoln,AU,2021-01-09 22:02:22,-34.7333,135.8667,73.44,57,30,11.32
270,Zhigansk,RU,2021-01-09 22:02:22,66.7697,123.3711,-26.39,85,100,6.08
271,Ankazoabo,MG,2021-01-09 22:02:22,-22.2833,44.5167,74.32,79,7,1.7
272,Jijiga,ET,2021-01-09 22:02:22,9.35,42.8,56.14,51,0,6.58
273,Chirongui,YT,2021-01-09 22:02:22,-12.9319,45.1483,78.8,78,90,12.66
274,Correntina,BR,2021-01-09 22:02:22,-13.3433,-44.6367,79.99,59,65,3.04
275,Salym,RU,2021-01-09 22:02:22,60.0625,71.4789,-17.77,88,91,4.52
276,Tynda,RU,2021-01-09 22:02:22,55.1667,124.7167,-14.96,84,100,3.42
277,Elat,IL,2021-01-09 22:00:00,29.5581,34.9482,62.6,48,0,6.91
278,Luanda,AO,2021-01-09 22:01:40,-8.8368,13.2343,77.0,83,20,4.61
279,Dasoguz,TM,2021-01-09 22:02:22,41.8363,59.9666,26.6,63,100,11.5
280,Pevek,RU,2021-01-09 21:58:25,69.7008,170.3133,-23.35,88,50,2.44
281,Kerchevskiy,RU,2021-01-09 22:02:22,59.946,56.2884,6.8,95,86,3.49
282,Along,IN,2021-01-09 22:02:22,28.1667,94.7667,51.91,69,18,1.52
283,Severo-Kurilsk,RU,2021-01-09 22:02:22,50.6789,156.125,20.26,86,90,10.69
284,Petropavlivka,UA,2021-01-09 22:02:22,48.4564,36.4367,32.43,89,97,10.0
285,Bukachacha,RU,2021-01-09 22:02:22,52.9833,116.9167,-8.99,83,66,3.2
286,Samarai,PG,2021-01-09 22:02:22,-10.6167,150.6667,84.0,77,100,9.48
287,Monrovia,LR,2021-01-09 22:02:23,6.3005,-10.7969,80.6,83,40,7.72
288,Kota,IN,2021-01-09 22:02:23,25.1833,75.8333,62.82,76,0,5.59
289,Ponta Do Sol,PT,2021-01-09 22:02:23,32.6667,-17.1,52.0,72,48,1.99
290,Bossangoa,CF,2021-01-09 22:02:23,6.4926,17.4552,72.1,22,93,3.22
291,Bandarbeyla,SO,2021-01-09 21:58:19,9.4942,50.8122,72.79,73,8,23.02
292,Vardo,NO,2021-01-09 22:02:23,70.3705,31.1107,21.13,94,100,14.94
